Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
01:06:2020,12:00:00,153,0.074632,0.087599,0.092277,-999.,-999.,0.110516,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.111800,-999.,-999.,0.117902,-999.,-999.,0.117984,0.141638,3.707515,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.321680,0.186852,0.135787,0.344437,0.680379,-999.,31,31,31,0,0,31,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31,31,31,0,0,0,0,0,0,0,31,31,31,31,31,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
02:06:2020,12:00:00,154,0.057015,0.066145,0.070452,-999.,-999.,0.091177,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.091199,-999.,-999.,0.097885,-999.,-999.,0.096039,0.122586,3.979474,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.423971,0.176992,0.144789,0.461136,0.822942,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
03:06:2020,12:00:00,155,0.076471,0.085287,0.086994,-999.,-999.,0.098199,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.106188,-999.,-999.,0.109231,-999.,-999.,0.112216,0.123720,3.575805,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.328898,0.194618,0.254856,0.360786,0.496149,-999.,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,9,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
07:06:2020,12:00:00,159,0.074134,0.077534,0.082270,-999.,-999.,0.101491,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.106124,-999.,-999.,0.111557,-999.,-999.,0.109925,0.133750,4.629109,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.424079,0.134688,0.239421,0.467781,0.658547,-999.,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
08:06:2020,12:00:00,160,0.031206,0.037082,0.042353,-999.,-999.,0.063124,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.069498,-999.,-999.,0.077671,-999.,-999.,0.079945,0.105880,4.245963,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.831222,0.481722,0.482812,0.895260,1.159760,-999.,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
09:06:2020,12:00:00,161,0.035320,0.043340,0.049306,-999.,-999.,0.073283,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074568,-999.,-999.,0.082937,-999.,-999.,0.080194,0.110038,4.531085,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.686308,0.241809,0.252314,0.749856,1.033253,-999.,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
11:06:2020,12:00:00,163,0.049589,0.055609,0.061724,-999.,-999.,0.086755,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.081018,-999.,-999.,0.088712,-999.,-999.,0.080166,0.112323,4.812778,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.456604,-0.042200,0.011599,0.503874,0.848384,-999.,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
12:06:2020,12:00:00,164,0.080768,0.090663,0.094941,-999.,-999.,0.112555,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.113835,-999.,-999.,0.119015,-999.,-999.,0.118442,0.142098,4.320167,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.307570,0.136511,0.116643,0.336809,0.664488,-999.,25,25,25,0,0,25,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25,25,25,0,0,0,0,0,0,0,25,25,25,25,25,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
13:06:2020,12:00:00,165,0.046672,0.053647,0.056532,-999.,-999.,0.072095,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074487,-999.,-999.,0.078415,-999.,-999.,0.077515,0.096844,3.785889,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.446194,0.135157,0.189715,0.502965,0.763929,-999.,34,34,34,0,0,34,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34,33,34,0,0,0,0,0,0,0,34,34,34,34,34,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
14:06:2020,12:00:00,166,0.061872,0.067486,0.070658,-999.,-999.,0.085542,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.086995,-999.,-999.,0.091387,-999.,-999.,0.091378,0.109843,3.516881,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.341900,0.166495,0.144449,0.375457,0.692029,-999.,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,14,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
15:06:2020,12:00:00,167,0.052771,0.059915,0.063582,-999.,-999.,0.081205,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.082578,-999.,-999.,0.088563,-999.,-999.,0.088646,0.110353,3.134561,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.446455,0.252149,0.179951,0.481954,0.826457,-999.,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,29,29,30,0,0,0,0,0,0,0,30,30,30,30,29,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
16:06:2020,12:00:00,168,0.053577,0.058540,0.063045,-999.,-999.,0.081909,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.085084,-999.,-999.,0.091294,-999.,-999.,0.091022,0.113922,4.203413,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.495198,0.223358,0.244275,0.540659,0.801728,-999.,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
17:06:2020,12:00:00,169,0.061087,0.073186,0.077744,-999.,-999.,0.093622,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.093186,-999.,-999.,0.096795,-999.,-999.,0.095087,0.113472,3.116704,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.289254,0.089341,0.062758,0.329996,0.586203,-999.,36,36,36,0,0,36,0,0,0,0,0,0,0,0,36,0,0,36,0,0,35,36,36,0,0,0,0,0,0,0,36,36,36,36,36,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
18:06:2020,12:00:00,170,0.081111,0.094486,0.099542,-999.,-999.,0.117361,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.113567,-999.,-999.,0.117465,-999.,-999.,0.112609,0.133830,3.488156,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.200041,-0.036176,-0.014166,0.233050,0.457517,-999.,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
19:06:2020,12:00:00,171,0.285236,0.347096,0.356714,-999.,-999.,0.375118,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.374429,-999.,-999.,0.374688,-999.,-999.,0.371079,0.365955,3.801008,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.069349,-0.034224,-0.005411,0.091342,0.137417,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,12,13,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
20:06:2020,12:00:00,172,0.111196,0.131955,0.138192,-999.,-999.,0.156858,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.150891,-999.,-999.,0.153096,-999.,-999.,0.144709,0.168718,4.915358,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.122772,-0.154084,-0.072760,0.159290,0.232140,-999.,9,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,8,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
21:06:2020,12:00:00,173,1.162413,1.493207,1.564846,-999.,-999.,1.663166,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.683252,-999.,-999.,1.686450,-999.,-999.,1.660501,1.673049,3.721431,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.103729,-0.050386,0.032875,0.130239,-0.034849,-999.,21,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,21,20,0,0,0,0,0,0,0,21,21,21,21,21,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
22:06:2020,12:00:00,174,1.383277,1.750401,1.822739,-999.,-999.,1.911304,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.927121,-999.,-999.,1.924139,-999.,-999.,1.892731,1.895071,3.759949,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074527,-0.064766,0.016726,0.098311,-0.062588,-999.,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,9,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
23:06:2020,12:00:00,175,0.759233,0.945189,0.975247,-999.,-999.,1.021199,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.023545,-999.,-999.,1.023558,-999.,-999.,1.008161,1.025089,3.826292,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.065549,-0.056584,0.005648,0.086375,-0.024832,-999.,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,16,14,14,0,0,0,0,0,0,0,17,17,17,17,16,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
24:06:2020,12:00:00,176,0.222409,0.269386,0.278915,-999.,-999.,0.304477,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.298698,-999.,-999.,0.302980,-999.,-999.,0.294719,0.318637,4.053764,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.101346,-0.050972,-0.020913,0.123035,0.181893,-999.,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
26:06:2020,12:00:00,178,0.691303,0.848728,0.876997,-999.,-999.,0.916442,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.921225,-999.,-999.,0.920738,-999.,-999.,0.910026,0.920600,3.832150,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.067064,-0.044396,0.011769,0.087883,-0.001864,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,13,13,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
28:06:2020,12:00:00,180,0.569156,0.653265,0.664271,-999.,-999.,0.683622,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.688829,-999.,-999.,0.688068,-999.,-999.,0.677494,0.679402,4.180948,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.054521,-0.033878,0.018878,0.070259,-0.005883,-999.,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,14,11,11,0,0,0,0,0,0,0,16,16,16,16,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
29:06:2020,12:00:00,181,0.122174,0.137629,0.141698,-999.,-999.,0.154189,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.161642,-999.,-999.,0.163750,-999.,-999.,0.166368,0.179409,3.995053,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.237477,0.147090,0.168625,0.269928,0.410166,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,13,13,14,0,0,0,0,0,0,0,14,14,14,14,13,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
30:06:2020,12:00:00,182,0.162119,0.195804,0.203589,-999.,-999.,0.225257,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.222794,-999.,-999.,0.225635,-999.,-999.,0.219672,0.240831,4.025765,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.129719,-0.053945,0.000886,0.160092,0.179096,-999.,24,24,24,0,0,24,0,0,0,0,0,0,0,0,24,0,0,24,0,0,24,23,24,0,0,0,0,0,0,0,24,24,24,24,24,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
01:07:2020,12:00:00,183,0.066857,0.083107,0.090305,-999.,-999.,0.118204,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.111902,-999.,-999.,0.117839,-999.,-999.,0.107991,0.136424,5.118848,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.373696,-0.201336,-0.088560,0.438906,0.606729,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,748,Guadeloup,16.224920,-61.528378,39.000000
